,Z,D,FTAScore,NCAScore,NVCAFlag,DMF,Sex,White,SexWhite,Age,PendingChargeAtTimeOfOffense,NCorNonViolentMisdemeanorCharge,ViolentMisdemeanorCharge,ViolentFelonyCharge,NonViolentFelonyCharge,PriorMisdemeanorConviction,PriorFelonyConviction,PriorViolentConviction,PriorSentenceToIncarceration,PriorFTAInPastTwoYears,PriorFTAOlderThanTwoYears,Staff_ReleaseRecommendation,Y_NCA,Y_NVCA,Y_FTA,Hearing Date
64,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,31.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,8
65,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,9
66,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,52.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,9
67,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9
68,1.0,0.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,31.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,9
69,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,8
70,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9
71,0.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,9
72,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,9
73,0.0,1.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,10
74,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,9
75,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,9
76,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,9
77,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,9
